Device/Package xc7z045fbg676 9/18/2012 10:02:27                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
R6    MGTREFCLK0P_112          NA                 112   NA            NA                  GTX       NA
V3    MGTXRXN2_112             NA                 112   NA            NA                  GTX       NA
AB7   MGTAVTTRCAL_112          NA                 112   NA            NA                  GTX       NA
R5    MGTREFCLK0N_112          NA                 112   NA            NA                  GTX       NA
AB8   MGTRREF_112              NA                 112   NA            NA                  GTX       NA
U5    MGTREFCLK1N_112          NA                 112   NA            NA                  GTX       NA
U6    MGTREFCLK1P_112          NA                 112   NA            NA                  GTX       NA
W2    MGTXTXP1_112             NA                 112   NA            NA                  GTX       NA
Y4    MGTXRXP1_112             NA                 112   NA            NA                  GTX       NA
W1    MGTXTXN1_112             NA                 112   NA            NA                  GTX       NA
Y3    MGTXRXN1_112             NA                 112   NA            NA                  GTX       NA
AA2   MGTXTXP0_112             NA                 112   NA            NA                  GTX       NA
AB4   MGTXRXP0_112             NA                 112   NA            NA                  GTX       NA
AA1   MGTXTXN0_112             NA                 112   NA            NA                  GTX       NA
AB3   MGTXRXN0_112             NA                 112   NA            NA                  GTX       NA
C23   PS_POR_B_500             NA                 500   NA            NA                  MIO       NA
B24   PS_CLK_500               NA                 500   NA            NA                  MIO       NA
E26   PS_MIO0_500              NA                 500   NA            NA                  MIO       NA
D26   PS_MIO1_500              NA                 500   NA            NA                  MIO       NA
E25   PS_MIO2_500              NA                 500   NA            NA                  MIO       NA
D25   PS_MIO3_500              NA                 500   NA            NA                  MIO       NA
F24   PS_MIO4_500              NA                 500   NA            NA                  MIO       NA
C26   PS_MIO5_500              NA                 500   NA            NA                  MIO       NA
F23   PS_MIO6_500              NA                 500   NA            NA                  MIO       NA
E23   PS_MIO7_500              NA                 500   NA            NA                  MIO       NA
A24   PS_MIO8_500              NA                 500   NA            NA                  MIO       NA
D24   PS_MIO9_500              NA                 500   NA            NA                  MIO       NA
A25   PS_MIO10_500             NA                 500   NA            NA                  MIO       NA
B26   PS_MIO11_500             NA                 500   NA            NA                  MIO       NA
A23   PS_MIO12_500             NA                 500   NA            NA                  MIO       NA
B25   PS_MIO13_500             NA                 500   NA            NA                  MIO       NA
D23   PS_MIO14_500             NA                 500   NA            NA                  MIO       NA
C24   PS_MIO15_500             NA                 500   NA            NA                  MIO       NA
A19   PS_MIO53_501             NA                 501   NA            NA                  MIO       NA
A20   PS_MIO52_501             NA                 501   NA            NA                  MIO       NA
B20   PS_MIO51_501             NA                 501   NA            NA                  MIO       NA
B22   PS_MIO50_501             NA                 501   NA            NA                  MIO       NA
A18   PS_MIO49_501             NA                 501   NA            NA                  MIO       NA
B21   PS_MIO48_501             NA                 501   NA            NA                  MIO       NA
B19   PS_MIO47_501             NA                 501   NA            NA                  MIO       NA
E17   PS_MIO46_501             NA                 501   NA            NA                  MIO       NA
C18   PS_MIO45_501             NA                 501   NA            NA                  MIO       NA
E18   PS_MIO44_501             NA                 501   NA            NA                  MIO       NA
D18   PS_MIO43_501             NA                 501   NA            NA                  MIO       NA
F17   PS_MIO42_501             NA                 501   NA            NA                  MIO       NA
C19   PS_MIO41_501             NA                 501   NA            NA                  MIO       NA
C22   PS_MIO40_501             NA                 501   NA            NA                  MIO       NA
C21   PS_MIO39_501             NA                 501   NA            NA                  MIO       NA
D21   PS_MIO38_501             NA                 501   NA            NA                  MIO       NA
D20   PS_MIO37_501             NA                 501   NA            NA                  MIO       NA
K16   PS_MIO36_501             NA                 501   NA            NA                  MIO       NA
D19   PS_MIO35_501             NA                 501   NA            NA                  MIO       NA
J16   PS_MIO34_501             NA                 501   NA            NA                  MIO       NA
E22   PS_MIO33_501             NA                 501   NA            NA                  MIO       NA
K17   PS_MIO32_501             NA                 501   NA            NA                  MIO       NA
E21   PS_MIO31_501             NA                 501   NA            NA                  MIO       NA
K19   PS_MIO30_501             NA                 501   NA            NA                  MIO       NA
E20   PS_MIO29_501             NA                 501   NA            NA                  MIO       NA
J18   PS_MIO28_501             NA                 501   NA            NA                  MIO       NA
F18   PS_MIO27_501             NA                 501   NA            NA                  MIO       NA
H17   PS_MIO26_501             NA                 501   NA            NA                  MIO       NA
F19   PS_MIO25_501             NA                 501   NA            NA                  MIO       NA
J19   PS_MIO24_501             NA                 501   NA            NA                  MIO       NA
F20   PS_MIO23_501             NA                 501   NA            NA                  MIO       NA
G22   PS_MIO22_501             NA                 501   NA            NA                  MIO       NA
F22   PS_MIO21_501             NA                 501   NA            NA                  MIO       NA
H19   PS_MIO20_501             NA                 501   NA            NA                  MIO       NA
