Device/Package xc7z045ffg900 9/18/2012 09:53:04                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
D14   IO_L14N_T2_AD4N_SRCC_35  2                  35    0             NA                  HP        NA
F17   IO_L15P_T2_DQS_AD12P_35  2                  35    0             NA                  HP        NA
E17   IO_L15N_T2_DQS_AD12N_35  2                  35    0             NA                  HP        NA
D16   IO_L16P_T2_35            2                  35    0             NA                  HP        NA
C16   IO_L16N_T2_35            2                  35    0             NA                  HP        NA
C17   IO_L17P_T2_AD5P_35       2                  35    0             NA                  HP        NA
B16   IO_L17N_T2_AD5N_35       2                  35    0             NA                  HP        NA
B17   IO_L18P_T2_AD13P_35      2                  35    0             NA                  HP        NA
A17   IO_L18N_T2_AD13N_35      2                  35    0             NA                  HP        NA
C14   IO_L19P_T3_35            3                  35    0             NA                  HP        NA
C13   IO_L19N_T3_VREF_35       3                  35    0             NA                  HP        NA
C12   IO_L20P_T3_AD6P_35       3                  35    0             NA                  HP        NA
B12   IO_L20N_T3_AD6N_35       3                  35    0             NA                  HP        NA
B15   IO_L21P_T3_DQS_AD14P_35  3                  35    0             NA                  HP        NA
A15   IO_L21N_T3_DQS_AD14N_35  3                  35    0             NA                  HP        NA
C11   IO_L22P_T3_AD7P_35       3                  35    0             NA                  HP        NA
B11   IO_L22N_T3_AD7N_35       3                  35    0             NA                  HP        NA
B14   IO_L23P_T3_35            3                  35    0             NA                  HP        NA
A14   IO_L23N_T3_35            3                  35    0             NA                  HP        NA
A13   IO_L24P_T3_AD15P_35      3                  35    0             NA                  HP        NA
A12   IO_L24N_T3_AD15N_35      3                  35    0             NA                  HP        NA
M16   IO_25_VRP_35             NA                 35    0             NA                  HP        NA
